,,,
Message_ID,Previous_Chat,Current_Message,Label
1,,"ini dia kes semalam tu gais, ini dia",0
2,"ini dia kes semalam tu gais, ini dia","ok korang tengok eh, korang tengok hanabi ni eh ",0
3,"ok korang tengok eh, korang tengok hanabi ni eh ",sabah sarawak melayu pukimak babi anak haram,1
4,sabah sarawak melayu pukimak babi anak haram,nampak tu dia cakap apa gais,0
5,nampak tu dia cakap apa gais,"tengok eh, dia dah buka mic dah nampak tu",0
6,"tengok eh, dia dah buka mic dah nampak tu",ya Allah budak ni,0
7,ya Allah budak ni,tengok eh tengok eh,0
8,tengok eh tengok eh,tak cakap lagi bila nak cakap ni,0
9,tak cakap lagi bila nak cakap ni,bang bawa selawat sikit la bang,0
10,bang bawa selawat sikit la bang,orang dah cakap kat dia tapi dia tk rilek do budak ni,0
11,orang dah cakap kat dia tapi dia tk rilek do budak ni,aku tak tahu dia nak attetion ke apa gais,0
12,aku tak tahu dia nak attetion ke apa gais,"tengok eh, bila dia nak cakap ni",0
13,"tengok eh, bila dia nak cakap ni",oo ni ni ni dia nak cakap dah ni,0
14,oo ni ni ni dia nak cakap dah ni,hahaha sumpah aku gelak,0
15,hahaha sumpah aku gelak,"aku tak faham dia ni sumpah, kau tengok hanabi ni",0
16,"aku tak faham dia ni sumpah, kau tengok hanabi ni",kau main mainan kau ke pukimak,1
17,kau main mainan kau ke pukimak,pukimak punya melayu,1
18,pukimak punya melayu,melayu kafir kamu ni,1
19,melayu kafir kamu ni,anak haram betul la,1
20,anak haram betul la,pagi-pagi dah dapat pukimak ei aku stres betul la,1
21,pagi-pagi dah dapat pukimak ei aku stres betul la,kenapa pagi-pagi mesti dapat team macam ni kenapa,0
22,kenapa pagi-pagi mesti dapat team macam ni kenapa,abang stres tau tak abang stres tau tak,0
23,abang stres tau tak abang stres tau tak,korang takde hero global korang boleh la cakap rilek,0
24,korang takde hero global korang boleh la cakap rilek,rilek kepala bapak korang,1
25,rilek kepala bapak korang,pukimak melayu,1
26,pukimak melayu,kalau korang ada hero global korang akan stres jugak,0
27,kalau korang ada hero global korang akan stres jugak,tahu tak lagi teruk daripada abang tahu tak,0
28,tahu tak lagi teruk daripada abang tahu tak,kau ingat senang nak push mmr ni,0
29,kau ingat senang nak push mmr ni,nak bagi jatuh cukup senang tahu tak,0
30,nak bagi jatuh cukup senang tahu tak,hormat la player-player global yang lain,0
31,hormat la player-player global yang lain,tahu tak hormat la sikit orang lain,0
32,tahu tak hormat la sikit orang lain,jangan ingat kepala hotak korang je,1
33,jangan ingat kepala hotak korang je,tahu tak kalau rasa taknak main,0
34,tahu tak kalau rasa taknak main," jangan main mobile legend ni, padam",0
35," jangan main mobile legend ni, padam",pukimak melayu,1
36,pukimak melayu,melayu haram jadah,1
37,melayu haram jadah,aku saja nak triggered kan dia gais,0
38,aku saja nak triggered kan dia gais,pick hero macam babi,1
